to,tp
370,316.8925893340923
590,238.76089657683357
320,446.09943185272607
310,258.83083661012694
260,262.8756625958488
190,235.98934700278494
150,171.49988379413102
130,140.38783552264027
290,140.5225417525205
490,266.99447166500676
840,354.0077867326229
700,481.68946413021735
430,495.8408424908409
300,324.0968141098506
310,271.9302636157871
290,275.42063070200396
300,251.00658549894877
240,269.8788767568184
160,218.6166214763613
90,176.16808208125195
70,110.18704630227649
80,84.90578979342675
80,90.7068416892626
80,89.89154162140673
570,91.49157889752
610,503.17920727529065
330,342.6522495896804
350,280.5319891826303
260,278.40244645638705
270,247.52568990269074
210,250.3846298233718
100,177.46787441266815
100,115.79011388366713
90,117.86541474510047
100,108.34361385752662
110,115.01156514293375
100,128.04323778708937
80,115.01156514293375
90,99.83928259295627
90,105.88232398144162
80,104.35995271137064
90,92.56051443458485
90,104.35995271137064
250,104.35995271137064
390,340.1295946450177
190,290.38294959895944
100,173.2835232841157
280,120.33599427478526
560,353.67818999301915
600,460.05637435541746
290,392.8201233839766
90,246.63714979571995
370,111.43012143882606
670,322.8611448843024
230,501.30078386460093
160,226.6310718785011
90,189.68152686736232
70,107.68910992041897
70,88.6762044125238
70,81.86083091318586
70,80.2607936370726
70,80.2607936370726
70,80.2607936370726
70,80.2607936370726
70,80.2607936370726
80,80.2607936370726
60,90.17573995021418
50,72.78775249148447
60,60.13580192419029
40,59.65401921396521
70,52.72874693694448
70,72.35301957383595
60,77.6259025579452
80,64.63806733987637
70,84.56002496746792
80,77.68462578423089
70,88.41487216522835
70,77.68462578423089
70,78.49992585208676
70,76.89988857597349
70,76.89988857597349
70,76.30626064579026
60,76.30626064579026
70,63.60726028591956
80,73.61427160036949
110,90.49808282620424
70,121.77814984636225
50,77.38374190413896
50,57.56596475230679
40,50.81136481538587
20,47.639238183380726
40,41.51071748471604
30,47.639238183380726
70,41.51071748471604
50,69.84440475896066
60,55.49061986931191
50,57.145404399089955
50,52.79863082389114
60,50.81136481538587
40,57.145404399089955
60,50.1018117987676
50,57.62071200597156
60,53.273938430772745
50,57.62071200597156
60,53.273938430772745
50,57.62071200597156
40,53.273938430772745
50,48.11454579026233
40,51.28667242226748
50,48.11454579026233
50,51.28667242226748
60,51.28667242226748
50,57.62071200597156
60,52.79863082389114
40,57.145404399089955
20,49.62650419188599
40,41.51071748471604
40,47.639238183380726
50,47.639238183380726
50,50.81136481538587
60,50.81136481538587
50,57.145404399089955
60,52.79863082389114
50,57.145404399089955
50,52.79863082389114
50,50.81136481538587
50,50.81136481538587
50,50.81136481538587
60,50.81136481538587
50,57.145404399089955
60,52.79863082389114
60,57.145404399089955
50,59.132670407595235
50,52.79863082389114
50,50.81136481538587
50,50.81136481538587
50,50.81136481538587
60,50.81136481538587
60,57.145404399089955
80,59.132670407595235
